dataset,label,p,r,f,speed
sec_filings,,0.9829931973,0.9059561129,0.942903752,1065.0091588463
,ORG,0.9784172662,0.9066666667,0.9411764706,
,LOC,0.8181818182,0.3913043478,0.5294117647,
,PER,1.0,0.9863013699,0.9931034483,
toxic-spans,,0.6305970149,0.5577557756,0.591943958,5188.7693673182
,insult,0.6305970149,0.7331887202,0.6780341023,
,other toxicity,0.0,0.0,0.0,
,profane/obscene,0.0,0.0,0.0,
,identity based attack,0.0,0.0,0.0,
,threat,0.0,0.0,0.0,
en-wikineural,,0.9045842217,0.8567822282,0.8800345722,13790.1456883452
,PER,0.8954741379,0.9022801303,0.8988642509,
,ORG,0.8842105263,0.7516778523,0.8125755744,
,LOC,0.9211986681,0.903647251,0.9123385545,
,MISC,0.9168674699,0.8253796095,0.8687214612,
wnut17,,0.6023391813,0.1232057416,0.2045680238,315.267625762
,location,0.4324324324,0.2162162162,0.2882882883,
,person,0.6666666667,0.1829787234,0.2871452421,
,creative-work,0.0,0.0,0.0,
,product,0.0,0.0,0.0,
,group,0.25,0.0256410256,0.0465116279,
,corporation,0.0,0.0,0.0,
anem,,0.8580858086,0.65,0.7396870555,2390.0835103751
,Organ,0.8055555556,0.568627451,0.6666666667,
,Pathological_formation,0.8285714286,0.6590909091,0.7341772152,
,Organism_substance,0.7894736842,0.6,0.6818181818,
,Multi-tissue_structure,0.7887323944,0.6913580247,0.7368421053,
,Cell,0.9310344828,0.8120300752,0.8674698795,
,Organism_subdivision,0.75,0.4285714286,0.5454545455,
,Cellular_component,1.0,0.5294117647,0.6923076923,
,Anatomical_system,0.0,0.0,0.0,
,Tissue,0.8888888889,0.380952381,0.5333333333,
,Immaterial_anatomical_entity,0.0,0.0,0.0,
,Developing_anatomical_structure,0.0,0.0,0.0,
nl-wikineural,,0.7684729064,0.6559633028,0.7077747989,15623.4262493296
,MISC,0.7941628264,0.6911764706,0.7390993567,
,LOC,0.7438202247,0.6910229645,0.7164502165,
,ORG,0.7935483871,0.5379008746,0.6411815812,
,PER,0.7425595238,0.7098150782,0.7258181818,
es-wikineural,,0.7907291949,0.6702665441,0.7255316503,17248.2453733655
,LOC,0.7483870968,0.7065989848,0.7268929504,
,ORG,0.7957540264,0.6394117647,0.7090671885,
,PER,0.874884152,0.7725040917,0.8205128205,
,MISC,0.6050955414,0.4269662921,0.5006587615,
